range,mae_u,mae_v,mse_u,mse_v,corr_u,corr_v,count
1,0.73614,0.826357,0.811749,1.1453,0.920791,0.970563,498
2,0.750185,0.774519,0.934996,1.01434,0.916518,0.977645,509
3,0.704461,0.763584,0.884239,0.974906,0.92823,0.983203,553
4,0.705135,0.721384,0.859223,0.865523,0.950527,0.986225,537
5,0.743479,0.600813,0.935714,0.632372,0.949597,0.99123,569
6,0.705928,0.614654,0.849875,0.662181,0.957299,0.991782,582
7,0.739586,0.636735,0.870846,0.659472,0.963407,0.992085,606
8,0.743142,0.623783,0.934542,0.65441,0.964418,0.992976,631
9,0.728145,0.588081,0.952548,0.603427,0.967826,0.993427,637
10,0.809324,0.589593,1.61817,0.631594,0.948991,0.992951,629
11,0.798243,0.591929,1.07306,0.629544,0.96905,0.993329,644
12,0.775923,0.631543,1.03847,0.720357,0.971657,0.992462,629
13,0.749192,0.645667,1.00446,0.726869,0.974181,0.992731,685
14,0.722992,0.698722,0.996904,0.880178,0.97442,0.991482,700
15,0.82707,0.672114,3.43376,0.821481,0.920403,0.991764,703
16,0.768407,0.658963,1.12586,0.828027,0.975819,0.991775,713
17,0.680191,0.611764,0.901679,0.653687,0.98217,0.993472,709
18,0.637965,0.61861,0.759124,0.668093,0.985281,0.99298,709
19,0.682568,0.643367,1.02545,0.785719,0.982252,0.991218,743
20,0.683773,0.658119,0.941353,0.767273,0.983918,0.991651,743
21,0.672822,0.664882,0.786596,0.724352,0.986603,0.992319,759
22,0.681078,0.664356,0.842012,0.745981,0.986247,0.992091,778
23,0.689773,0.624512,0.895494,0.688772,0.985625,0.992781,783
24,0.657864,0.620228,0.81217,0.666833,0.98708,0.992645,790
25,0.641602,0.621348,0.799997,0.640326,0.987311,0.992691,800
26,0.712659,0.670639,0.997267,0.746363,0.984906,0.991225,794
27,0.714067,0.646225,0.906941,0.678405,0.986589,0.992173,795
28,0.759853,0.682216,0.97119,0.711949,0.986026,0.991685,812
29,0.736805,0.670239,0.913264,0.670335,0.986575,0.992551,800
30,0.723938,0.68855,0.89408,0.737799,0.987956,0.991838,794
31,0.717597,0.709239,0.870411,0.765711,0.988576,0.991952,776
32,0.760027,0.72296,0.970252,0.840526,0.987532,0.991173,767
