range,mae_u,mae_v,mse_u,mse_v,corr_u,corr_v,count
1,0.724533,0.795192,0.847707,1.06108,0.922645,0.972484,744
2,0.718794,0.735575,0.87095,0.938818,0.938211,0.979746,777
3,0.677866,0.663614,0.813613,0.741254,0.951837,0.986867,807
4,0.716158,0.692991,0.905156,0.811163,0.959429,0.986993,831
5,0.709902,0.584843,0.835633,0.578606,0.964804,0.991338,849
6,0.694657,0.620339,0.801808,0.649801,0.970142,0.990914,871
7,0.727753,0.678015,0.860169,0.770413,0.972243,0.989592,890
8,0.704414,0.670989,0.917077,0.799461,0.971519,0.990224,899
9,0.730953,0.684614,0.946632,0.826397,0.974312,0.99012,922
10,0.722928,0.647203,0.857685,0.7466,0.978225,0.990927,882
11,0.75053,0.637513,0.903175,0.67663,0.977371,0.992294,891
12,0.766025,0.61614,1.01804,0.624021,0.976355,0.993088,866
13,0.740684,0.645728,0.933502,0.725103,0.979492,0.992671,900
14,0.735013,0.64331,0.97999,0.758993,0.978459,0.992207,909
15,0.747436,0.658785,1.04664,0.747961,0.978474,0.992117,918
16,0.748698,0.635545,1.0622,0.741193,0.979394,0.992347,915
17,0.671769,0.600816,0.839483,0.606312,0.985089,0.993623,905
18,0.632899,0.610562,0.737297,0.630727,0.986778,0.993117,895
19,0.635879,0.606402,0.749132,0.601912,0.987038,0.993268,914
20,0.651921,0.61635,0.735516,0.600978,0.987577,0.99351,894
21,0.64701,0.641069,0.728905,0.671397,0.987874,0.992891,906
22,0.657783,0.6289,0.787162,0.656407,0.987654,0.992863,908
23,0.660465,0.629037,0.835537,0.670805,0.98725,0.992684,905
24,0.648145,0.607923,0.784966,0.60384,0.987899,0.993174,911
25,0.680633,0.648698,0.887722,0.669007,0.986518,0.992185,917
26,0.689699,0.708174,0.905613,0.795497,0.98635,0.990639,905
27,0.712958,0.689417,0.890714,0.749471,0.987016,0.991309,911
28,0.720492,0.676315,0.856174,0.687277,0.987395,0.991865,896
29,0.712429,0.679549,0.830305,0.671774,0.988099,0.992472,903
30,0.711145,0.696282,0.857532,0.75198,0.988243,0.991583,890
31,0.705431,0.69036,0.85542,0.725203,0.988511,0.992256,886
32,0.71085,0.700912,0.868449,0.761718,0.988551,0.991903,875
33,0.729561,0.700686,0.955173,0.760334,0.987871,0.99182,867
34,0.753964,0.708935,1.04294,0.781542,0.987038,0.991524,872
35,0.785774,0.69695,1.14105,0.789331,0.985882,0.991185,864
36,0.754391,0.705565,1.06933,0.851968,0.986851,0.990675,861
37,0.745799,0.741207,1.03042,0.86514,0.987234,0.990434,871
38,0.725146,0.688346,0.935627,0.828752,0.988241,0.990722,855
39,0.743893,0.739734,0.965733,0.939127,0.988325,0.989836,814
40,0.775798,0.763486,1.02782,0.978139,0.987169,0.988571,823
41,0.757667,0.795317,0.94604,1.02587,0.988584,0.988565,824
42,0.785006,0.806653,1.09719,1.09009,0.986873,0.988238,797
43,0.828594,0.815506,1.22603,1.15035,0.985293,0.987723,799
44,0.792234,0.843457,1.16312,1.29635,0.98644,0.984787,774
45,0.797991,0.842479,1.15576,1.36233,0.985944,0.984761,750
46,0.793232,0.793371,1.0105,1.31618,0.988445,0.985227,736
47,0.755483,0.828432,0.945913,1.34885,0.988861,0.984832,703
48,0.739546,0.877952,0.939115,1.47587,0.988409,0.983326,699
49,0.755422,0.85093,0.915272,1.41813,0.988285,0.983562,686
50,0.72154,0.862423,0.935029,1.37397,0.988168,0.982681,651
51,0.737406,0.815691,1.22997,1.32931,0.983756,0.983979,618
52,0.714568,0.819454,1.08064,1.27299,0.985292,0.984358,592
53,0.682428,0.784696,0.867007,1.10398,0.98901,0.985458,547
54,0.700237,0.814796,0.891381,1.17869,0.988329,0.984972,548
55,0.73313,0.900999,0.967937,1.66164,0.988243,0.977502,508
56,0.702953,0.863876,0.819988,1.30297,0.989398,0.981801,497
57,0.783053,0.820256,1.10639,1.22323,0.986183,0.981356,465
58,0.728816,0.892278,0.896205,1.4019,0.989561,0.978941,440
59,0.704582,0.876397,0.846225,1.48844,0.990612,0.974606,425
60,0.796041,0.875105,1.06964,1.42807,0.989033,0.977331,377
61,0.715625,0.857501,0.901004,1.37419,0.990807,0.978147,389
62,0.947915,0.914757,1.34061,1.50754,0.987415,0.978625,351
63,0.908187,1.06306,1.18165,1.82471,0.988099,0.973898,369
64,0.96661,1.06116,1.46164,1.91455,0.986402,0.973247,343
65,0.897042,1.09874,1.25619,2.27552,0.989044,0.968669,295
66,0.910732,0.92172,1.27897,1.49408,0.98773,0.980574,304
67,0.948983,0.902025,1.28432,1.45588,0.988005,0.981167,277
68,0.917878,0.992712,1.18851,1.86548,0.989532,0.974968,248
69,0.722945,0.848616,0.850035,1.15695,0.99279,0.984324,216
70,0.778666,0.893939,1.03266,1.36721,0.991783,0.986492,207
71,0.850441,0.929517,1.05256,1.70454,0.991993,0.981687,209
72,0.957541,1.11643,1.40377,2.41462,0.9897,0.965053,194
73,0.870647,0.751775,1.20086,1.04434,0.986372,0.986611,154
74,0.862587,0.826426,1.18709,1.46968,0.986161,0.982498,158
75,0.854369,0.859018,1.16486,1.52056,0.988914,0.987252,152
76,0.82101,0.984349,1.21358,1.60938,0.983734,0.983887,134
77,0.748249,0.895601,0.941718,1.26563,0.988588,0.980227,125
78,1.01121,1.13742,1.6326,1.9504,0.982062,0.965493,137
79,0.817763,1.05985,0.92695,1.76716,0.989621,0.971517,127
80,0.854081,0.772701,1.21193,1.15705,0.985075,0.980327,123
81,0.835178,1.01136,0.969589,2.13972,0.987574,0.97203,121
82,0.779596,0.970137,1.06987,1.51599,0.988385,0.97686,102
83,0.678372,0.973028,0.641628,1.68885,0.994472,0.975836,104
